sugar_to_flour_ratio,sugar_index,bake_temp,chill_time,calories,density,pH,grams_baking_soda,bake_time,quality,butter_type,weight,crunch_factor,aesthetic_appeal,raisins,nuts,chocolate,oats,peanut_butter
0.25,9.5,300,15.0,136.0,0.99367,8.1,0.44,12.1,8,1,15.2,1.3,3,1,0,0,0,0
0.23,3.3,520,34.0,113.0,0.99429,8.16,0.48,8.4,7,1,12.4,1.71,3,1,0,0,0,0
0.18,1.9,360,33.0,106.0,0.98746,8.21,0.83,14.0,9,1,9.4,1.78,3,0,1,1,0,0
0.18,10.5,490,41.0,124.0,0.9963,8.14,0.35,10.5,7,1,12.2,1.59,3,0,0,1,0,0
0.24,2.4,770,6.0,33.0,0.9974,8.09,0.57,9.4,5,0,19.8,1.3,3,0,1,1,1,0
0.39,2.3,410,31.0,102.0,0.99221,8.22,0.58,10.9,9,1,13.2,1.93,3,0,0,1,0,0
0.39,2.6,440,30.0,180.0,0.9941,8.46,0.44,10.8,9,1,15.2,1.51,3,0,0,1,0,0
0.18,1.8,700,13.0,40.0,0.997,8.44,0.6,9.1,5,0,14.2,1.89,3,0,1,1,1,0
0.17,12.9,330,59.0,186.0,0.99754,8.08,0.49,9.4,7,1,13.8,1.18,3,0,1,1,0,0
0.49,9.6,300,45.0,197.0,0.9938,8.13,0.38,12.3,9,1,15.2,1.65,3,0,0,1,0,0
0.29,3.3,370,32.0,140.0,0.9895,8.17,0.36,12.8,9,1,12.6,1.2,3,0,0,1,0,0
0.25,7.5,300,18.0,117.0,0.99116,8.09,0.38,13.0,8,1,13.8,1.63,3,0,0,1,0,0
0.34,3.4,360,34.0,200.0,0.9937,8.14,0.76,10.0,7,1,13.0,1.29,3,1,0,0,0,0
0.34,7.6,450,25.0,118.0,0.99222,8.03,0.37,11.0,8,1,12.0,1.94,3,0,1,1,0,0
0.05,2.1,610,20.0,49.0,0.99705,8.31,0.55,9.7,3,0,14.6,1.48,3,1,0,0,1,0
0.33,7.0,240,14.0,130.0,0.9918,8.25,0.45,12.5,9,1,15.2,1.97,4,0,1,1,0,0
0.35,1.2,500,36.0,140.0,0.99138,8.09,0.45,11.2,7,1,15.6,1.15,3,0,0,1,0,0
0.39,1.0,320,14.0,71.0,0.98912,8.31,0.38,13.0,9,1,13.4,1.55,3,0,0,1,1,0
0.29,1.6,520,48.0,185.0,0.9934,8.21,0.5,9.4,7,1,12.6,1.78,3,0,0,1,0,0
0.31,14.5,450,39.0,193.0,0.9986,8.1,0.5,9.2,8,1,14.8,1.99,3,0,0,1,1,0
0.32,2.5,420,23.0,218.5,0.9935,8.27,0.6,9.8,7,1,12.2,1.73,3,0,0,1,0,0
0.32,2.4,480,35.0,103.0,0.9911,8.28,0.46,12.0,10,1,13.6,1.68,3,1,0,0,0,0
0.4,2.7,820,6.0,11.0,0.99538,8.44,0.54,12.2,6,0,15.2,1.82,3,0,1,1,0,0
0.49,9.0,440,31.0,185.0,0.998,8.34,0.49,10.0,8,1,16.0,1.77,3,0,0,1,0,0
0.23,2.5,440,16.0,70.0,0.99352,8.46,0.65,12.5,6,0,12.2,1.36,3,1,1,0,0,0
0.27,4.6,290,22.0,104.0,0.9949,8.34,0.44,9.0,7,1,11.0,1.62,3,0,0,1,1,0
0.44,1.9,850,9.0,22.0,0.99708,8.28,0.55,9.5,5,0,18.6,1.14,3,0,1,1,0,0
0.36,13.2,670,53.0,178.0,0.9976,8.01,0.48,9.0,8,1,14.8,1.13,3,0,0,1,0,0
0.35,1.4,500,23.0,83.0,0.99019,8.17,0.48,12.0,9,1,13.2,1.83,3,0,0,1,0,0
0.07,7.1,440,34.0,145.0,0.9945,8.34,0.57,9.7,8,1,10.6,1.17,3,1,1,0,0,0
0.0,1.4,570,15.0,26.0,0.99448,8.36,0.45,9.5,5,0,12.0,1.77,3,1,1,0,0,0
0.39,8.0,280,22.0,84.0,0.994,8.11,0.66,10.8,8,1,13.8,1.02,3,0,0,1,1,0
0.19,2.0,810,17.0,108.0,0.9962,8.32,0.54,9.5,5,0,15.6,1.23,3,1,1,0,0,0
0.35,1.6,880,16.0,39.0,0.9961,8.34,0.55,9.2,5,0,14.0,1.95,3,0,1,1,0,0
0.28,14.7,510,29.0,149.0,0.99792,7.96,0.39,9.0,9,1,14.0,1.08,3,0,0,1,1,0
0.33,15.7,530,51.0,190.0,0.9978,8.22,0.51,9.7,8,1,13.0,1.18,3,0,0,1,0,0
0.0,1.9,800,22.0,39.0,0.99701,8.4,0.74,9.7,5,0,13.6,1.08,3,0,1,1,1,0
0.27,10.6,390,31.0,119.0,0.99815,8.27,0.3,9.3,8,1,15.2,1.43,3,1,0,0,0,0
0.26,2.1,390,8.0,143.0,0.9942,8.05,0.74,9.8,7,1,15.8,1.35,3,0,0,1,1,0
0.36,1.4,450,11.0,119.0,0.99556,8.17,0.47,9.4,6,1,17.2,1.54,3,1,0,0,0,0
0.0,1.9,650,9.0,18.0,0.9972,8.46,0.65,9.2,5,0,13.0,1.58,3,0,1,1,1,0
0.16,1.8,650,3.0,16.0,0.9962,8.42,0.92,10.5,7,0,16.0,1.28,3,1,1,0,0,0
0.23,1.4,470,20.0,77.0,0.99001,8.32,0.62,11.4,7,1,10.4,1.41,3,0,0,1,0,0
0.33,1.2,490,12.0,117.0,0.99134,8.46,0.44,11.5,7,1,11.8,1.67,3,0,1,1,0,0
0.37,9.7,320,17.0,50.0,0.9932,8.08,0.66,12.0,8,1,12.0,1.08,3,0,0,1,1,0
0.23,5.0,530,29.0,106.0,0.99458,8.13,0.52,9.0,7,1,11.6,1.76,3,1,0,0,0,0
0.07,1.3,350,26.0,102.0,0.992,8.5,0.35,10.6,8,1,10.6,1.7,3,1,0,0,0,0
0.46,2.5,730,5.0,27.0,1.0001,8.05,0.64,9.5,5,0,21.6,1.07,3,1,1,0,0,0
0.41,7.0,460,0.0,194.0,0.99558,8.14,0.48,9.4,7,1,13.2,1.52,3,0,0,1,0,0
0.27,9.9,470,26.0,101.0,0.99596,8.34,0.5,9.9,8,1,12.8,1.01,3,0,0,1,1,0
0.38,14.9,320,60.0,181.0,0.9983,8.18,0.61,9.3,9,1,14.0,1.65,3,1,0,0,0,0
0.13,2.1,1020,17.0,36.0,0.9944,8.24,0.53,11.2,6,0,15.6,1.66,3,1,1,0,0,0
